TC ID,Test Title/Summary of test cases,Pre-conditions,Test Steps,Expected Result
Create a Crawl Job,,,,
Confirm initializing the screen,,,,
FUNC_Create a Crawl Job_1,Confirm initializing the create job popup,Admin has successfully authenticated to the RADAR MD site.,"1. Access the RADAR site
2. Click on the Job Lists menu
3. Click on the [Create Crawl Job] button","3. Open the Create a Craw Job popup:
- ""Create a Crawl Job"" label
- ""Platform"" dropdown: required, show ""Select platform"" placeholder
- ""Job Type"" dropdown: required, show ""Select job type"" placeholder
- [Create Crawl Job] button: enable
- [Cancel] button: enable
- [X] icon button: enable"
FUNC_Create a Crawl Job_2,"Confirm initializing the create job popup in case select ""Get Products"" job type","Admin has successfully authenticated to the RADAR MD site.
The system has at least 1 created job.","1. Access the RADAR site
2. Click on the Job Lists menu
3. Click on the [Create Crawl Job] button
4. Select ""Get Products"" for the Job Type field","3. Open the Create a Craw Job popup.
4. The ""Categories"" dropdown is shown with the ""Please select categories that you want to crawl products"" placeholder."
Confirm action of items,,,,
FUNC_Create a Crawl Job_3,Confirm initializing the create job popup,Admin has successfully authenticated to the RADAR MD site.,"1. Access the RADAR site
2. Click on the Job Lists menu
3. Click on the [Create Crawl Job] button","3. Open the Create a Craw Job popup:
- ""Create a Crawl Job"" label
- ""Platform"" dropdown: required, ""OliveYoung"" value is selected as defaul
- ""Job Type"" dropdown: required, ""Get Categories"" value is selected as defaul
- [Create Crawl Job] button: enable
- [Cancel] button: enable
- [X] icon button: enable"
FUNC_Create a Crawl Job_4,Confirm action of the [X] icon button,Admin has successfully authenticated to the RADAR MD site.,"1. Access the RADAR site
2. Click on the Job Lists menu
3. Click on the [Create Crawl Job] button
4. Click on the [X] icon button","4. Close the Create a Crawl Job popup, back to the Job Lists screen."
FUNC_Create a Crawl Job_5,Confirm action of the [Cancel] icon button,Admin has successfully authenticated to the RADAR MD site.,"1. Access the RADAR site
2. Click on the Job Lists menu
3. Click on the [Create Crawl Job] button
4. Click on the [Cancel] icon button","4. Close the Create a Crawl Job popup, back to the Job Lists screen."
Confirm create a crawl job,,,,
FUNC_Create a Crawl Job_6,Verify that the admin can not create a crawl job without selecting platform,Admin has successfully authenticated to the RADAR MD site.,"1. Access the RADAR site
2. Click on the Job Lists menu
3. Click on the [Create Crawl Job] button
4. Select a value of the ""Job type"" field
5. Select a value of the ""Categories"" field if the selected value at step 4 is ""Get products""
6. Click on [Create Crawl Job] button","6. Show an inline message stating below the ""Platform"" field: ""This field is required."""
