TC ID,Test Title/Summary of test cases,Pre-conditions,Test Steps,Expected Result
External Product list,,,,
Check product list,,,,
FUNC_External Product list_1,Check product list in case no data,"MD is on the Product List page.
The product list has no product.",1. Open the Product List screen,"1. Show the message ""No products found"""
FUNC_External Product list_2,Check product list in case having data,"MD is on the Product List page.
The product list has at least 1 product.",1. Open the Product List screen,"1. Show all the crawlled products. The list is sorted by Last Updated Date Newest first as default.
"
FUNC_External Product list_3,Check thumbnail display,"MD is on the Product List page.
The product list has at least 1 product.","1. Open the Product List screen
2. Focus on the product's image",2. The main product image (thumbnail) is displayed correctly.
FUNC_External Product list_4,Check image when loading fails,"MD is on the Product List page.
The product list has at least 1 product.","1. Open the Product List screen
2. Focus on the product's image
Note: Disconnect the network or Using an invalid image URL",2. A placeholder image or error message is displayed.
FUNC_External Product list_5,Check product name display,"MD is on the Product List page.
The product list has at least 1 product.","1. Open the Product List screen
2. Focus on the product's name",2. The product name is displayed correctly.
FUNC_External Product list_6,Check long product name,"MD is on the Product List page.
The product list has at least 1 product.","1. Open the Product List screen
2. Focus on the product that has very long product name",2. The name is fully displayed in 2 or 3 lines and is not truncate.
FUNC_External Product list_7,Check platform and logo display,"MD is on the Product List page.
The product list has at least 1 product.","1. Open the Product List screen
2. Focus on the product's platform and the platform's logo",2. The correct platform name and logo are displayed.
FUNC_External Product list_8,Check brand name display,"MD is on the Product List page.
The product list has at least 1 product.","1. Open the Product List screen
2. Focus on the product's brand name",2. The correct brand name is displayed.
FUNC_External Product list_9,Check missing brand name,"MD is on the Product List page.
The product list has at least 1 product.","1. Open the Product List screen
2. Focus on the product's brand name

Note: Load a product with no brand data","2. ""Unknown"" is displayed or the brand field is hidden."
FUNC_External Product list_10,Check Product ID display,"MD is on the Product List page.
The product list has at least 1 product.","1. Open the Product List screen
2. Focus on the product's id",2. The correct product ID is displayed. This id is the product id of the source page.
FUNC_External Product list_11,Check normal price display in case the product has no sale price,"MD is on the Product List page.
The product list has at least 1 product without sale price.","1. Open the Product List screen
2. Focus on the product's normal price","2. The normal price is displayed in the correct format (25,200 원).
No sale rate is displayed."
FUNC_External Product list_12,Check final price and sale rate display when on sale,"MD is on the Product List page.
The product list has at least 1 product.","1. Open the Product List screen
2. Focus on the product's normal price and final price","2. The final price is displayed along with a strikethrough normal price (25,200 원 20,200 원)"
FUNC_External Product list_13,Check sale rate display,"MD is on the Product List page.
The product list has at least 1 product.","1. Open the Product List screen
2. Focus on the product's sale rate","2. The discount percentage (X%) is correctly calculated and displayed, with the down arrow."
FUNC_External Product list_14,Check category path with 3 levels,"MD is on the Product List page.
The product list has at least 1 product.","1. Open the Product List screen
2. Focus on the product's category",2. The full category hierarchy (parent → child → sub-child) is displayed.
